method,bpt_original,bpt_shuffled,structural_bonus,tokens_orig,tokens_shuf
FP16,3.811226743062697,10.046190355680084,6.234963612617387,50176,50176
BNB_NF4,3.8972547955646855,10.098175221630482,6.200920426065797,50176,50176
SYM_INT4,16.89968186449492,17.176857809053466,0.27717594455854666,50176,50176
SYM_INT8,3.8468225749468754,10.089779435757961,6.242956860811086,50176,50176
