step,loss
100,7.5117
200,5.3271
300,4.7093
400,4.6565
500,4.6447
600,4.6387
700,4.6544
800,4.6361
900,4.6354
1000,4.6282
1100,4.6305
1200,4.6113
1300,4.6037
1400,4.5952
1500,4.5821
1600,4.5551
1700,4.5449
1800,4.5352
1900,4.5325
2000,4.5281
2100,4.5242
2200,4.5238
2300,4.5193
2400,4.5189
2500,4.5172
2600,4.5172
2700,4.5151
2800,4.5145
2900,4.5124
3000,4.5124
3100,4.5106
3200,4.5097
3300,4.5089
3400,4.5087
3500,4.5068
3600,4.5079
3700,4.5073
3800,4.5048
3900,4.5053
4000,4.5036
4100,4.5026
4200,4.5032
4300,4.5014
4400,4.5004
4500,4.5017
4600,4.4975
4700,4.498
4800,4.4994
4900,4.4953
5000,4.4963
5100,4.4944
5200,4.4937
5300,4.4934
5400,4.4908
5500,4.4894
5600,4.491
5700,4.4863
5800,4.4861
5900,4.4878
6000,4.4831
6100,4.4837
6200,4.4847
6300,4.4782
6400,4.48
6500,4.4803
6600,4.4751
6700,4.4765
6800,4.4752
6900,4.4729
7000,4.4737
7100,4.4714
7200,4.4699
7300,4.4703
7400,4.4653
7500,4.4671
7600,4.4676
7700,4.4644
7800,4.4633
7900,4.4634
8000,4.4594
8100,4.4621
8200,4.4613
8300,4.4578
8400,4.4592
8500,4.4583
8600,4.4555
8700,4.4573
8800,4.4562
8900,4.4544
9000,4.4559
9100,4.4536
9200,4.4539
9300,4.454
9400,4.4526
9500,4.4524
9600,4.4541
9700,4.4526
9800,4.4527
9900,4.4523
10000,4.4534
