step,loss
100,7.4401
200,5.4935
300,5.3272
400,5.3137
500,5.3104
600,5.3093
700,5.308
800,5.3077
900,5.3083
1000,5.3085
1100,5.309
1200,5.3083
1300,5.6087
1400,5.3122
1500,5.309
1600,5.3078
1700,5.3085
1800,5.3081
1900,5.3077
2000,5.3074
2100,5.3072
2200,5.3072
2300,5.3073
2400,5.3065
2500,5.3065
2600,5.3066
2700,5.3061
2800,5.3055
2900,5.3062
3000,5.3053
3100,5.3047
3200,5.3046
3300,5.3042
3400,5.3039
3500,5.3031
3600,5.3042
3700,5.3013
3800,5.3017
3900,5.3016
4000,5.3005
4100,5.2994
4200,5.2997
4300,5.2966
4400,5.2969
4500,5.2973
4600,5.2927
4700,5.2925
4800,5.2927
4900,5.2869
5000,5.2884
5100,5.2871
5200,5.2817
5300,5.2835
5400,5.2808
5500,5.275
5600,5.2778
5700,5.2706
5800,5.2679
5900,5.2712
6000,5.2589
6100,5.2604
6200,5.2637
6300,5.2458
6400,5.2517
6500,5.2505
6600,5.2345
6700,5.2405
6800,5.234
6900,5.223
7000,5.2276
7100,5.2166
7200,5.2206
7300,5.2159
7400,5.1984
7500,5.199
7600,5.2004
7700,5.1817
7800,5.1845
7900,5.1861
8000,5.1672
8100,5.1717
8200,5.2685
8300,5.166
8400,5.1657
8500,5.1596
8600,5.1551
8700,5.1553
8800,5.1488
8900,5.1473
9000,5.1489
9100,5.1426
9200,5.1426
9300,5.143
9400,5.1397
9500,5.1387
9600,5.1377
9700,5.1372
9800,5.1369
9900,5.1385
10000,5.1363
