model,corpus,seed,BPT,BPSS_star,source_entropy,structural_bonus,BPT_shuffled_eval,step_at_plateau,final_slope,ntok,nchars
pcfg,pcfg,42,6.601141040866871,1.650269832712579,7.647849677953421,5.433222834621741,12.034363875488612,400.0,-1.0787878787860091e-06,80227,320911
pcfg,pcfg,137,6.586711218851611,1.6466624109326515,7.647849677953421,5.23113353624881,11.81784475510042,400.0,-1.7636363636364574e-06,80227,320911
pcfg_shuf,pcfg_shuf,42,8.118856798203334,2.0296952249983917,7.648210943457346,-0.003194662087954825,8.115662136115379,5700.0,-8.945454545453953e-06,80227,320911
pcfg_shuf,pcfg_shuf,137,7.79152956696661,1.9478641821845626,7.648210943457346,-0.00825586831718983,7.78327369864942,300.0,-7.539393939392559e-06,80227,320911
syn8,syn8,42,9.047247138011063,2.2617906402124373,7.999854894564709,0.01618868091761705,9.06343581892868,,,80227,320911
