corpus,seed,target_H,empirical_H,BPT,BPSS_star,BPSS_over_H,train_loss,plateau_slope,steps,time_sec,n_params
syn5,42,4.99999773319547,4.99999773319547,2.105367015460438,1.2499883986574971,0.2499977930707254,1.462512493133545,-5.5168735072482786e-09,40000,9188.644261360168,85664256
syn5,137,4.99999773319547,4.99999773319547,2.105405835360364,1.2500114466221457,0.2500024026657449,1.4577232599258423,-2.8369966315932123e-08,40000,10730.360608100891,85664256
syn6,42,5.999995107963365,5.999995107963365,2.5265325429107346,1.5000084344042062,0.2500016095702065,1.7496862411499023,-2.1324107642292965e-08,40000,12080.916363477707,85679616
syn6,137,5.999995107963365,5.999995107963365,2.526559015431946,1.5000241512035835,0.2500042290389051,1.756374716758728,9.668551643560596e-09,40000,11976.083975791931,85679616
syn7,42,6.9999897574783745,6.9999897574783745,2.9472994961654604,1.7499696861264284,0.2499960352451751,2.053473472595215,3.2243139432806e-08,40000,8325.48617362976,85710336
syn7,137,6.9999897574783745,6.9999897574783745,2.947286109325404,1.7499617376419523,0.2499948997457313,2.0423760414123535,4.529564884560898e-09,40000,4827.237299919128,85710336
