pair,n,pearson_r,p_value,r_ci_low,r_ci_high
train_H_vs_BPT,16,-0.09995488041240735,0.7126409487548518,-0.6174353135086964,0.39363032204676063
target_H_vs_BPT,16,0.11460298849409038,0.6725697634432026,-0.42235913266273517,0.5709880491458239
delta_H_vs_BPT,16,0.15171532406071886,0.5748672225781013,-0.2689797154250269,0.5367188264422033
abs_delta_H_vs_BPT,16,0.6857116886452095,0.0033643934029923403,0.31987695116373477,0.8772886349433835
