n_per_group,mde_cohens_d
3,3.0708922695990255
5,2.024440145655355
10,1.3249473683434811
20,0.9091290410935778
50,0.5658802975131416
100,0.39813911389615253
200,0.28083645028759346
500,0.1773583482866793
# current_n=4_vs_3,mde=2.6838
# observed_d=0.3967,n_needed_per_group=100.7
