method,bits,BPT,tokens
FP16,16,4.268797073115052,50176
lloyd_max,4,8.508381411824349,50176
lloyd_max,3,11.737653682079475,50176
symmetric,4,16.892321175510794,50176
symmetric,3,16.04998232988972,50176
