dataset,seed,source_entropy_gzip,bits_per_pixel,mse_per_dim,pixel_variance,n_params,train_time_hrs
VIMG_LOW,42,5.726099537037037,3.617458687049936,0.0005522790045965286,0.08319279,34438400,0.1939116899172465
VIMG_MED,42,0.3137152777777778,0.9405515884682226,0.02421780279250372,0.08920788,34438400,0.1793000124560462
VIMG_HIGH,42,8.00810185185185,0.0,0.08781492978050595,0.08398989,34438400,0.17413118931982252
VIMG_NAT,42,6.570873842592593,0.7613627474183439,0.02417351553780692,0.069458574,34438400,0.17263427356878916
