effective_patch_size,downsample_factor,mae_loss,bits_per_pixel_est,n_images
16,1,0.06872402410954237,0.11557474800255366,512
32,2,0.07652290817350149,0.1931133417181637,512
64,4,0.1330067664384842,0.5918813585661067,512
