image_type,complexity_rank,mae_loss,bits_per_pixel_est,n_images
uniform_gray,0,2.2236715267354157e-05,0,1024
gradient,1,0.00019123331821901957,0,1024
blocks_4x4,2,1.796778105199337,2.4698017116149007,1024
blocks_16x16,3,2.604553312063217,2.73761356898931,1024
noise_gaussian,4,1.1354465931653976,2.138725509718912,1024
noise_uniform,5,1.6469548270106316,2.4069960777275003,1024
cifar10_real,3.5,0.0709933468606323,0.1390094047081543,1024
