model,n_tokens,n_chars,n_bytes,bytes_per_token,BPT,bits_per_char,bits_per_byte
EleutherAI/pythia-160m,288969,1288512,1290546,4.4660361492063165,5.000725583974217,1.1214910464748837,1.1197234901161566
EleutherAI/pythia-410m,288969,1288512,1290546,4.4660361492063165,4.268797073115052,0.9573446125616085,0.9558357636387881
EleutherAI/pythia-1.4b,288969,1288512,1290546,4.4660361492063165,3.811226743062697,0.8547272984000804,0.8533801822764043
gpt2-medium,286177,1288512,1290546,4.509607690345486,4.516932799415908,1.0032054631531926,1.0016243339938649
