patch_size,n_patches,bits_per_pixel,H_patch_gzip,bits_over_H
8,144,1.1849706998181395,7.86275,0.1507069027780534
12,64,0.9284340181142436,6.9250185185185185,0.1340695357899007
16,36,0.7644178879968417,6.829729166666666,0.11192506603741732
24,16,0.5695231954187687,6.483013888888888,0.08784852310664697
32,9,0.4469923347339509,6.470700520833333,0.0690794347991838
48,4,0.2896109075625621,6.48253616898148,0.04467555598815348
