max_depth,seed,source_H,bpt_original,bpt_shuffled,structural_bonus,n_params,train_time_hrs,corpus_size
1,42,7.99999302964262,3.8224083018463473,3.8228396165414327,0.0004313146950853941,85779456,0.05595450441042582,20000000
2,42,7.999990129884246,3.8210085838054035,3.822231417751055,0.0012228339456514803,85775616,0.05679563840230306,20000000
3,42,7.999989926403999,3.8247809385702225,3.8238235628297788,-0.0009573757404437444,85780992,0.05690403660138448,20000000
5,42,7.999990417032402,3.833050285151539,3.8316944008282023,-0.0013558843233365536,85778688,0.06670248203807407,20000000
8,42,7.999991660283893,3.8228508142986035,3.8227220334036303,-0.00012878089497325718,85780224,0.07265165090560913,20000000
