source,seed,mse_per_dim,frame_variance,bits_per_frame_dim,bits_per_frame,structural_bonus,n_params,train_time_hrs
speech,42,0.08308587058734972,0.9999142,1.7945646434270335,229.70427435866029,-0.26609808149545433,4296320,0.09046594825055865
speech,137,0.08273549131387214,0.9999142,1.7976130515861308,230.09447060302475,-0.26624400130803605,4296320,0.0899626401397917
music,42,0.10142149532725389,0.970961,1.6295249305136428,208.57919110574628,-1.5880240776395236,4296320,0.0910262068774965
music,137,0.08613899974387743,0.970961,1.7473374176528471,223.65918945956443,-1.7253871439616084,4296320,0.09278889821635353
noise,42,1.0145628734050773,0.9992157,0.0,0.0,0.0,4296320,0.0938089538945092
noise,137,1.0130514317444892,0.9992157,0.0,0.0,0.0,4296320,0.09195016099347009
