step,loss
1,6.460277080535889
2,6.467907905578613
3,6.3535871505737305
4,6.312777519226074
5,6.203737735748291
6,5.962681770324707
7,5.9290242195129395
8,5.772815704345703
9,5.557077407836914
10,5.348165035247803
11,5.132289409637451
12,4.914272785186768
13,4.586457252502441
14,4.389643669128418
15,4.044583797454834
16,3.8587300777435303
17,3.5418336391448975
18,3.261345386505127
19,3.016451120376587
20,2.82387638092041
21,2.5641043186187744
22,2.2290077209472656
23,2.0726702213287354
24,1.8769582509994507
25,1.6868268251419067
26,1.4761894941329956
27,1.332955002784729
28,1.2756491899490356
29,1.2428960800170898
30,1.1296069622039795
31,0.9969359636306763
32,0.9521710276603699
33,0.8903526663780212
34,0.8304954171180725
35,0.7486710548400879
36,0.6367908120155334
37,0.6432458758354187
38,0.5957116484642029
39,0.5927099585533142
40,0.5504443645477295
41,0.4534491002559662
42,0.4487663507461548
43,0.421944260597229
44,0.39562928676605225
45,0.4374975860118866
46,0.3378378748893738
47,0.347757488489151
48,0.2901945114135742
49,0.3019034266471863
50,0.33979642391204834
51,0.289739191532135
52,0.24066874384880066
53,0.2900408208370209
54,0.27623608708381653
55,0.21569329500198364
56,0.20491263270378113
57,0.21612006425857544
58,0.25548261404037476
59,0.20715230703353882
60,0.20096656680107117
61,0.1825580596923828
62,0.15839263796806335
63,0.19837193191051483
64,0.19307267665863037
65,0.16758354008197784
66,0.1723959594964981
67,0.1710517257452011
68,0.17483538389205933
69,0.1542944461107254
70,0.1641654223203659
71,0.12713183462619781
72,0.14732083678245544
73,0.1305648684501648
74,0.13608679175376892
75,0.13661684095859528
76,0.13396263122558594
77,0.12402109801769257
78,0.1379171758890152
79,0.12647472321987152
80,0.11610838025808334
81,0.13261844217777252
82,0.12143854051828384
83,0.12273193150758743
84,0.12402066588401794
85,0.12278440594673157
86,0.11023496091365814
87,0.10276929289102554
88,0.10790936648845673
89,0.09615550935268402
90,0.10036502778530121
91,0.1034604012966156
92,0.11407143622636795
93,0.10976341366767883
94,0.10311557352542877
95,0.11180877685546875
96,0.09983807057142258
97,0.09600404649972916
98,0.09821459650993347
99,0.09423122555017471
100,0.09869265556335449
101,0.08731991797685623
102,0.0914732813835144
103,0.08298142999410629
104,0.08647637814283371
105,0.08961603790521622
106,0.08739648759365082
107,0.09724193066358566
108,0.08039978891611099
109,0.08744639158248901
110,0.08299627900123596
111,0.08736179769039154
112,0.08293312788009644
113,0.08252966403961182
114,0.07980577647686005
115,0.08393172174692154
116,0.08687906712293625
117,0.08657736331224442
118,0.0920524001121521
119,0.07455671578645706
120,0.07724204659461975
121,0.0729508101940155
122,0.0794014185667038
123,0.08080445975065231
124,0.08162474632263184
125,0.07793242484331131
126,0.07023961842060089
127,0.07769355922937393
128,0.07536346465349197
129,0.07872511446475983
130,0.07655856013298035
131,0.08575186133384705
132,0.076523557305336
133,0.06822771579027176
134,0.07635452598333359
135,0.08573693037033081
136,0.0770803913474083
137,0.07699804753065109
138,0.07636690884828568
139,0.06521382182836533
140,0.07021953165531158
141,0.06749871373176575
142,0.07545024901628494
143,0.06758023798465729
144,0.0654776394367218
145,0.06942957639694214
146,0.07090248167514801
147,0.07370922714471817
148,0.07933823764324188
149,0.0728682279586792
150,0.06522029638290405
151,0.07423792779445648
152,0.06770917028188705
153,0.06921041756868362
154,0.07154189795255661
155,0.07099048793315887
156,0.07058113068342209
157,0.07728253304958344
158,0.07249532639980316
159,0.06499066203832626
160,0.06535819172859192
161,0.06912031024694443
162,0.06538796424865723
163,0.06492482870817184
164,0.06739623844623566
165,0.06971967220306396
166,0.06428465247154236
167,0.07022710144519806
168,0.07540418952703476
169,0.06626385450363159
170,0.06366805732250214
171,0.07344003766775131
172,0.07215581089258194
173,0.07444649934768677
174,0.0665818452835083
175,0.07113619893789291
176,0.0686650425195694
177,0.06805606186389923
178,0.06567178666591644
179,0.06530588120222092
180,0.06268997490406036
181,0.07626857608556747
182,0.06186956539750099
183,0.06926816701889038
184,0.05693622678518295
185,0.06342706829309464
186,0.06436656415462494
187,0.06759683042764664
188,0.06163038685917854
189,0.07083874195814133
190,0.06358160823583603
191,0.06654366105794907
192,0.06275935471057892
193,0.07402151077985764
194,0.061176009476184845
195,0.06759115308523178
196,0.06317369639873505
197,0.06242929771542549
198,0.06821081787347794
199,0.0703250914812088
200,0.05860695615410805
201,0.06450095027685165
202,0.06791963428258896
203,0.06214724853634834
204,0.07068680226802826
205,0.05923688784241676
206,0.06030363216996193
207,0.06926854699850082
208,0.07109703868627548
209,0.06147955358028412
210,0.06229875981807709
211,0.06792805343866348
212,0.06178475171327591
213,0.05485749989748001
214,0.059239987283945084
215,0.06064360961318016
216,0.0693659707903862
217,0.059739913791418076
218,0.06316012889146805
219,0.0634545236825943
220,0.05622236058115959
221,0.0693943053483963
222,0.060635652393102646
223,0.06613600254058838
224,0.06025763228535652
225,0.057325925678014755
226,0.06484799087047577
227,0.061306584626436234
228,0.05716739222407341
229,0.06043221428990364
230,0.05705099180340767
231,0.06607867032289505
232,0.06227638199925423
233,0.05877819284796715
234,0.0709482952952385
